2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:42:03 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:29 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:29 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:29 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:29 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:29 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:29 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:29 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
2025-10-18 20:44:30 - momentum.DataExtraction.case_search_engine - [31mERROR[0m - 🔍 DEBUG: _create_case_result - 缺少參數: ['past_24hr_max_single_move', 'past_48hr_price_range', 'past_72hr_avg_bar_volatility', 'past_48hr_directional_movement', 'past_24hr_volume_stability']
